"TMLE3T2","TMLE3S1","TMLE3S2"
3.01317430989124,3.1192254659467,3.12579421798563
2.9113596174504,2.98614721485514,2.93850738168502
2.94807466820887,2.88503948685109,2.9490125539262
3.00367781102874,3.02310895151091,3.05258103727239
3.14625667342915,3.21787557764161,3.18124127925043
2.87706844991028,2.8243118710848,2.88646519962082
3.19225074593258,3.20333032214969,3.21851932094256
3.08640753611605,3.03694808965437,3.07928536127416
2.98875287194441,2.9402560332155,3.00772708476809
2.90127135774594,2.8682609789967,2.89035895176003
3.12205284011238,3.09952406358033,3.08503945648579
3.08320556800336,3.01060825884933,3.04748583535474
3.09494829646586,3.04378346410922,3.03724815929225
3.01278942109192,3.1000363286061,2.97789424638459
3.04002767308944,3.18454196862252,3.17675249408907
3.09087311285002,3.32076046483875,3.19765768646084
3.04982868471027,2.9662698577692,2.99739639779199
3.04558114343862,3.1294089195673,3.04269369022706
3.03884946472101,3.04197822608111,3.02289548346662
3.04501419373663,3.02659012511589,3.00452124607913
3.05303515126927,3.21108615799112,3.12839341944061
2.91887077163703,2.77489727743466,2.88264969933499
3.0879920010304,3.20574361888987,3.18887354661577
2.99513419096206,2.97165909418257,2.97174727154645
3.06798150471882,3.07081194178274,3.07871962184042
2.99490271985651,2.94001234181924,2.91652413561337
3.10516611025477,3.08109710196195,3.06353317570266
2.83619880801242,2.70798947791953,2.78798772128018
3.04714557803497,3.1218643645912,3.04401054630719
3.11899865828155,3.13519294448093,3.06869916472382
3.03692987768524,2.99554685282195,3.04059647229289
3.03974389016016,3.13147626107618,3.0888270090552
3.01403332469758,2.81944392466434,2.8706747395492
2.8964800395833,2.95909583910062,2.96821673036872
2.9101864942982,2.91099720205244,2.9270257573068
3.02578003468579,3.08018881855461,3.12731336262624
3.00042905343859,3.00100632925341,3.00640688529028
2.95286086852035,2.94436808128903,2.98609615563608
3.01307487401915,2.83490339153487,2.94618046227246
2.93969151658891,2.99832541929528,2.95076826777155
2.90623114168575,2.88185736297939,2.89651176713716
2.97871958705464,2.98796059684358,3.05048082372849
2.98190600591679,2.99909835709371,2.90872757516353
2.97403052541497,2.92927310402645,2.97166791583726
2.90506488163143,2.96206328448994,2.90883011136274
3.02325675089136,3.06335101555392,3.00159746324602
2.98649376536987,3.0078808071721,3.01277778259321
3.00109251916482,3.01531966411677,2.96655924909401
3.14313495345684,3.13691172194293,3.16150364568685
3.04145203726237,3.23092183311308,3.15603259775032
2.96067755535177,3.03965283066307,3.03510329742691
3.01733949664886,3.09004771866121,2.98934467141668
